[Video Information]
y: 96
width: 40
height: 100

Frame: 11
x: 320
y: 99
width: 40
height: 100

Frame: 12
x: 320
y: 99
width: 46
height: 104

Frame: 13
x: 322
y: 99
width: 46
height: 104

Frame: 14
x: 328
y: 99
width: 46
height: 104

Frame: 15
x: 331
y: 99
width: 46
height: 104

Frame: 16
x: 337
y: 100
width: 46
height: 104

Frame: 17
x: 340
y: 102
width: 46
height: 104

Frame: 18
x: 345
y: 102
width: 46
height: 104

Frame: 19
x: 351
y: 101
width: 46
height: 104

Frame: 20
x: 362
y: 101
width: 46
height: 104

Frame: 21
x: 371
y: 101
width: 46
height: 104

Frame: 22
x: 377
y: 101
width: 48
height: 106

Frame: 23
x: 382
y: 99
width: 55
height: 113

Frame: 24
x: 394
y: 99
width: 55
height: 113

Frame: 25
x: 406
y: 99
width: 55
height: 113

Frame: 26
x: 420
y: 101
width: 55
height: 113

Object Number #3
Region Description:
Region 03
Start Frame:0
End Frame:267
Region Descriptors (0):
Region frames data
Frames: 0 to 26
x: 342
y: 98
width: 28
height: 80

Frames: 27 to 49
x: 340
y: 98
width: 28
height: 80

Frames: 50 to 53
x: 341
y: 98
width: 28
height: 80

Frames: 54 to 95
x: 343
y: 98
width: 28
height: 80

Frames: 96 to 100
x: 344
y: 98
width: 28
height: 80

Frame: 101
x: 345
y: 98
width: 28
height: 80

Frames: 102 to 103
x: 346
y: 98
width: 28
height: 80

Frames: 104 to 158
x: 348
y: 98
width: 28
height: 80

Frame: 159
x: 347
y: 97
width: 28
height: 80

Frame: 160
x: 346
y: 97
width: 28
height: 80

Frame: 161
x: 345
y: 97
width: 28
height: 80

Frame: 162
x: 344
y: 97
width: 28
height: 80

Frame: 163
x: 343
y: 97
width: 28
height: 80

Frame: 164
x: 342
y: 97
width: 28
height: 80

Frame: 165
x: 341
y: 97
width: 28
height: 80

Frame: 166
x: 340
y: 97
width: 28
height: 80

Frame: 167
x: 339
y: 97
width: 28
height: 80

Frame: 168
x: 338
y: 97
width: 28
height: 80

Frame: 169
x: 335
y: 96
width: 28
height: 80

Frame: 170
x: 334
y: 96
width: 28
height: 80

Frame: 171
x: 333
y: 96
width: 28
height: 80

Frame: 172
x: 332
y: 96
width: 28
height: 80

Frame: 173
x: 330
y: 96
width: 28
height: 80

Frame: 174
x: 327
y: 96
width: 28
height: 80

Frame: 175
x: 326
y: 96
width: 28
height: 80

Frame: 176
x: 321
y: 96
width: 28
height: 80

Frame: 177
x: 314
y: 95
width: 28
height: 80

Frame: 178
x: 313
y: 95
width: 28
height: 80

Frame: 179
x: 311
y: 95
width: 28
height: 80

Frame: 180
x: 308
y: 95
width: 28
height: 80

Frame: 181
x: 303
y: 95
width: 28
height: 80

Frame: 182
x: 302
y: 95
width: 28
height: 80

Frame: 183
x: 300
y: 95
width: 28
height: 80

Frame: 184
x: 299
y: 95
width: 28
height: 80

Frame: 185
x: 294
y: 95
width: 28
height: 80

Frame: 186
x: 293
y: 95
width: 28
height: 80

Frames: 187 to 188
x: 287
y: 95
width: 28
height: 80

Frame: 189
x: 282
y: 95
width: 28
height: 80

Frame: 190
x: 280
y: 95
width: 28
height: 80

Frame: 191
x: 277
y: 94
width: 28
height: 80

Frame: 192
x: 273
y: 94
width: 28
height: 80

Frame: 193
x: 270
y: 94
width: 28
height: 80

Frames: 194 to 195
x: 262
y: 96
width: 28
height: 80

Frame: 196
x: 255
y: 96
width: 28
height: 80

Frame: 197
x: 252
y: 97
width: 28
height: 80

Frames: 198 to 199
x: 248
y: 97
width: 28
height: 80

Frame: 200
x: 242
y: 97
width: 28
height: 80

Frame: 201
x: 241
y: 97
width: 28
height: 80

Frame: 202
x: 236
y: 97
width: 28
height: 80

Frame: 203
x: 234
y: 97
width: 28
height: 80

Frame: 204
x: 233
y: 97
width: 28
height: 80

Frame: 205
x: 225
y: 98
width: 28
height: 80

Frame: 206
x: 218
y: 98
width: 28
height: 80

Frame: 207
x: 217
y: 98
width: 28
height: 80

Frames: 208 to 209
x: 212
y: 98
width: 28
height: 80

Frame: 210
x: 210
y: 99
width: 28
height: 80

Frame: 211
x: 208
y: 99
width: 28
height: 80

Frame: 212
x: 204
y: 99
width: 28
height: 80

Frame: 213
x: 196
y: 99
width: 28
height: 80

Frame: 214
x: 191
y: 98
width: 28
height: 80

Frame: 215
x: 185
y: 99
width: 28
height: 80

Frame: 216
x: 180
y: 99
width: 28
height: 80

Frame: 217
x: 177
y: 99
width: 28
height: 80

Frame: 218
x: 172
y: 99
width: 28
height: 80

Frame: 219
x: 170
y: 99
width: 28
height: 80

Frame: 220
x: 164
y: 99
width: 28
height: 80

Frame: 221
x: 158
y: 100
width: 31
height: 83

Frame: 222
x: 156
y: 101
width: 31
height: 83

Frame: 223
x: 152
y: 102
width: 31
height: 83

Frame: 224
x: 147
y: 102
width: 31
height: 83

Frame: 225
x: 143
y: 102
width: 31
height: 83

Frame: 226
x: 138
y: 102
width: 31
height: 83

Frame: 227
x: 133
y: 101
width: 31
height: 83

Frame: 228
x: 129
y: 99
width: 31
height: 83

Frame: 229
x: 125
y: 99
width: 31
height: 83

Frame: 230
x: 123
y: 99
width: 31
height: 83

Frame: 231
x: 121
y: 100
width: 31
height: 83

Frame: 232
x: 114
y: 101
width: 31
height: 83

Frame: 233
x: 110
y: 102
width: 31
height: 83

Frame: 234
x: 106
y: 102
width: 31
height: 83

Frame: 235
x: 102
y: 102
width: 31
height: 83

Frame: 236
x: 99
y: 102
width: 31
height: 83

Frame: 237
x: 92
y: 102
width: 31
height: 83

Frame: 238
x: 90
y: 102
width: 31
height: 83

Frame: 239
x: 87
y: 102
width: 31
height: 83

Frame: 240
x: 80
y: 102
width: 31
height: 83

Frame: 241
x: 77
y: 102
width: 31
height: 83

Frame: 242
x: 71
y: 102
width: 31
height: 83

Frames: 243 to 244
x: 67
y: 102
width: 31
height: 83

Frame: 245
x: 62
y: 102
width: 31
height: 83

Frame: 246
x: 57
y: 102
width: 31
height: 83

Frame: 247
x: 53
y: 101
width: 31
height: 83

Frame: 248
x: 49
y: 101
width: 32
height: 85

Frame: 249
x: 43
y: 103
width: 32
height: 85

Frame: 250
x: 38
y: 103
width: 32
height: 85

Frame: 251
x: 34
y: 104
width: 32
height: 85

Frame: 252
x: 30
y: 104
width: 32
height: 85

Frame: 253
x: 27
y: 104
width: 32
height: 85

Frame: 254
x: 26
y: 104
width: 32
height: 85

Frame: 255
x: 18
y: 104
width: 35
height: 87

Frame: 256
x: 15
y: 102
width: 35
height: 87

Frame: 257
x: 9
y: 102
width: 35
height: 87

Frame: 258
x: 6
y: 102
width: 35
height: 87

Frame: 259
x: 4
y: 102
width: 35
height: 87

Frame: 260
x: 1
y: 102
width: 35
height: 87

Frame: 261
x: 0
y: 102
width: 35
height: 87

Frame: 262
x: -1
y: 102
width: 35
height: 87

Frame: 263
x: -1
y: 102
width: 31
height: 86

Frame: 264
x: -1
y: 102
width: 27
height: 87

Frame: 265
x: -1
y: 102
width: 26
height: 87

Frame: 266
x: -1
y: 102
width: 23
height: 87

Frame: 267
x: -1
y: 102
width: 23
height: 86

Object Number #4
Region Description:
Region 04
Start Frame:0
End Frame:258
Region Descriptors (0):
Region frames data
Frames: 0 to 153
x: 352
y: 93
width: 33
height: 98

Frames: 154 to 162
x: 350
y: 94
width: 33
height: 98

Frame: 163
x: 349
y: 94
width: 33
height: 98

Frame: 164
x: 348
y: 94
width: 33
height: 98

Frame: 165
x: 346
y: 94
width: 33
height: 98

Frame: 166
x: 341
y: 94
width: 33
height: 98

Frame: 167
x: 340
y: 94
width: 33
height: 98

Frame: 168
x: 337
y: 94
width: 33
height: 98

Frame: 169
x: 334
y: 94
width: 33
height: 98

Frames: 170 to 171
x: 332
y: 94
width: 33
height: 98

Frame: 172
x: 329
y: 94
width: 33
height: 98

Frame: 173
x: 326
y: 94
width: 33
height: 98

Frames: 174 to 175
x: 321
y: 95
width: 33
height: 98

Frames: 176 to 177
x: 320
y: 95
width: 32
height: 100

Frame: 178
x: 318
y: 95
width: 32
height: 100

Frame: 179
x: 316
y: 95
width: 32
height: 100

Frames: 180 to 184
x: 314
y: 95
width: 32
height: 100

Frame: 185
x: 311
y: 95
width: 32
height: 100

Frame: 186
x: 309
y: 95
width: 32
height: 100

Frame: 187
x: 307
y: 95
width: 32
height: 100

Frame: 188
x: 305
y: 95
width: 32
height: 100

Frame: 189
x: 301
y: 96
width: 32
height: 100

Frame: 190
x: 299
y: 96
width: 32
height: 100

Frame: 191
x: 293
y: 96
width: 32
height: 100

Frame: 192
x: 288
y: 96
width: 32
height: 100

Frame: 193
x: 282
y: 96
width: 32
height: 100

Frame: 194
x: 278
y: 96
width: 32
height: 100

Frame: 195
x: 275
y: 96
width: 34
height: 102

Frame: 196
x: 274
y: 96
width: 34
height: 102

Frame: 197
x: 270
y: 96
width: 34
height: 102

Frame: 198
x: 262
y: 96
width: 35
height: 105

Frame: 199
x: 257
y: 96
width: 35
height: 105

Frame: 200
x: 252
y: 96
width: 35
height: 105

Frame: 201
x: 249
y: 97
width: 35
height: 105

Frame: 202
x: 242
y: 98
width: 35
height: 105

Frame: 203
x: 233
y: 97
width: 35
height: 105

Frame: 204
x: 227
y: 97
width: 35
height: 105

Frame: 205
x: 223
y: 97
width: 35
height: 105

Frame: 206
x: 217
y: 97
width: 35
height: 106

Frame: 207
x: 212
y: 97
width: 35
height: 106

Frame: 208
x: 209
y: 97
width: 35
height: 106

Frame: 209
x: 204
y: 97
width: 35
height: 106

Frame: 210
x: 200
y: 97
width: 35
height: 106

Frame: 211
x: 194
y: 97
width: 35
height: 106

Frame: 212
x: 189
y: 97
width: 35
height: 106

Frame: 213
x: 181
y: 97
width: 35
height: 106

Frame: 214
x: 179
y: 97
width: 35
height: 106

Frame: 215
x: 173
y: 97
width: 35
height: 106

Frame: 216
x: 167
y: 97
width: 35
height: 106

Frame: 217
x: 162
y: 97
width: 35
height: 106

Frame: 218
x: 156
y: 97
width: 35
height: 106

Frame: 219
x: 150
y: 97
width: 35
height: 106

Frame: 220
x: 144
y: 97
width: 35
height: 106

Frame: 221
x: 143
y: 97
width: 35
height: 106

Frame: 222
x: 136
y: 95
width: 38
height: 107

Frame: 223
x: 130
y: 95
width: 38
height: 107

Frame: 224
x: 127
y: 95
width: 38
height: 107

Frame: 225
x: 122
y: 95
width: 38
height: 107

Frame: 226
x: 115
y: 95
width: 38
height: 107

Frame: 227
x: 108
y: 95
width: 38
height: 107

Frame: 228
x: 104
y: 96
width: 38
height: 107

Frame: 229
x: 99
y: 96
width: 38
height: 107

Frame: 230
x: 93
y: 97
width: 38
height: 107

Frame: 231
x: 90
y: 97
width: 38
height: 107

Frame: 232
x: 85
y: 97
width: 38
height: 107

Frame: 233
x: 80
y: 97
width: 38
height: 107

Frame: 234
x: 72
y: 97
width: 38
height: 107

Frames: 235 to 238
x: 66
y: 97
width: 38
height: 107

Frame: 239
x: 64
y: 97
width: 38
height: 107

Frame: 240
x: 57
y: 97
width: 38
height: 107

Frame: 241
x: 55
y: 97
width: 38
height: 107

Frame: 242
x: 45
y: 97
width: 38
height: 107

Frame: 243
x: 41
y: 97
width: 38
height: 107

Frame: 244
x: 37
y: 98
width: 38
height: 107

Frame: 245
x: 33
y: 98
width: 38
height: 107

Frame: 246
x: 29
y: 98
width: 38
height: 107

Frame: 247
x: 24
y: 98
width: 38
height: 107

Frame: 248
x: 17
y: 98
width: 38
height: 107

Frame: 249
x: 8
y: 98
width: 38
height: 107

Frame: 250
x: 7
y: 99
width: 38
height: 107

Frame: 251
x: 4
y: 99
width: 38
height: 107

Frame: 252
x: 2
y: 99
width: 38
height: 107

Frame: 253
x: -1
y: 99
width: 38
height: 107

Frame: 254
x: -1
y: 99
width: 34
height: 105

Frame: 255
x: -1
y: 99
width: 30
height: 105

Frame: 256
x: -1
y: 99
width: 26
height: 105

Frames: 257 to 258
x: -1
y: 99
width: 24
height: 104

Object Number #5
Region Description:
Region 05
Start Frame:0
End Frame:245
Region Descriptors (0):
Region frames data
Frames: 0 to 1
x: 383
y: 95
width: 34
height: 89

Frames: 2 to 3
x: 381
y: 95
width: 34
height: 89

Frames: 4 to 8
x: 380
y: 95
width: 34
height: 89

Frames: 9 to 98
x: 380
y: 95
width: 33
height: 90

Frames: 99 to 102
x: 381
y: 95
width: 33
height: 90

Frame: 103
x: 382
y: 95
width: 33
height: 90

Frames: 104 to 106
x: 385
y: 95
width: 33
height: 90

Frames: 107 to 117
x: 389
y: 95
width: 33
height: 90

Frame: 118
x: 388
y: 95
width: 33
height: 90

Frame: 119
x: 386
y: 95
width: 33
height: 90

Frames: 120 to 123
x: 383
y: 95
width: 36
height: 93

Frames: 124 to 162
x: 383
y: 96
width: 36
height: 93

Frame: 163
x: 385
y: 97
width: 36
height: 93

Frame: 164
x: 387
y: 99
width: 36
height: 93

Frame: 165
x: 387
y: 99
width: 39
height: 97

Frame: 166
x: 389
y: 101
width: 39
height: 97

Frames: 167 to 168
x: 391
y: 101
width: 39
height: 97

Frames: 169 to 171
x: 391
y: 100
width: 39
height: 97

Frames: 172 to 173
x: 388
y: 100
width: 39
height: 97

Frame: 174
x: 387
y: 101
width: 39
height: 97

Frames: 175 to 176
x: 389
y: 99
width: 38
height: 102

Frame: 177
x: 386
y: 97
width: 39
height: 107

Frame: 178
x: 385
y: 97
width: 39
height: 107

Frames: 179 to 181
x: 381
y: 97
width: 39
height: 107

Frame: 182
x: 381
y: 100
width: 39
height: 107

Frame: 183
x: 382
y: 97
width: 43
height: 111

Frames: 184 to 185
x: 380
y: 97
width: 43
height: 111

Frame: 186
x: 379
y: 98
width: 43
height: 111

Frame: 187
x: 377
y: 100
width: 43
height: 111

Frames: 188 to 189
x: 375
y: 101
width: 45
height: 120

Frame: 190
x: 369
y: 101
width: 45
height: 120

Frames: 191 to 192
x: 362
y: 102
width: 48
height: 124

Frame: 193
x: 357
y: 102
width: 48
height: 124

Frame: 194
x: 354
y: 103
width: 48
height: 124

Frame: 195
x: 349
y: 103
width: 48
height: 124

Frame: 196
x: 345
y: 99
width: 49
height: 139

Frame: 197
x: 341
y: 99
width: 49
height: 139

Frame: 198
x: 333
y: 99
width: 53
height: 142

Frame: 199
x: 329
y: 99
width: 53
height: 142

Frame: 200
x: 327
y: 99
width: 53
height: 142

Frame: 201
x: 324
y: 99
width: 53
height: 142

Frame: 202
x: 320
y: 99
width: 53
height: 142

Frame: 203
x: 316
y: 99
width: 53
height: 142

Frame: 204
x: 309
y: 101
width: 53
height: 142

Frame: 205
x: 305
y: 101
width: 53
height: 142

Frame: 206
x: 297
y: 101
width: 53
height: 142

Frame: 207
x: 293
y: 101
width: 53
height: 142

Frame: 208
x: 284
y: 101
width: 53
height: 142

Frame: 209
x: 277
y: 101
width: 54
height: 146

Frame: 210
x: 272
y: 101
width: 54
height: 146

Frame: 211
x: 261
y: 102
width: 59
height: 158

Frame: 212
x: 249
y: 102
width: 59
height: 158

Frame: 213
x: 243
y: 105
width: 59
height: 158

Frame: 214
x: 237
y: 104
width: 59
height: 158

Frame: 215
x: 232
y: 104
width: 59
height: 158

Frame: 216
x: 221
y: 104
width: 59
height: 158

Frame: 217
x: 215
y: 106
width: 59
height: 158

Frame: 218
x: 208
y: 106
width: 59
height: 158

Frame: 219
x: 196
y: 106
width: 59
height: 158

Frame: 220
x: 188
y: 106
width: 59
height: 158

Frame: 221
x: 182
y: 106
width: 59
height: 158

Frame: 222
x: 173
y: 106
width: 59
height: 158

Frame: 223
x: 165
y: 106
width: 59
height: 158

Frame: 224
x: 160
y: 106
width: 59
height: 158

Frame: 225
x: 152
y: 106
width: 59
height: 158

Frame: 226
x: 141
y: 105
width: 62
height: 164

Frame: 227
x: 135
y: 103
width: 62
height: 164

Frame: 228
x: 123
y: 103
width: 62
height: 164

Frame: 229
x: 117
y: 103
width: 62
height: 164

Frame: 230
x: 106
y: 105
width: 62
height: 164

Frame: 231
x: 99
y: 106
width: 62
height: 164

Frame: 232
x: 89
y: 105
width: 62
height: 164

Frame: 233
x: 80
y: 104
width: 62
height: 164

Frame: 234
x: 72
y: 104
width: 62
height: 164

Frame: 235
x: 64
y: 104
width: 62
height: 164

Frame: 236
x: 61
y: 104
width: 62
height: 164

Frame: 237
x: 43
y: 104
width: 67
height: 166

Frame: 238
x: 31
y: 104
width: 67
height: 166

Frame: 239
x: 20
y: 104
width: 67
height: 166

Frame: 240
x: 13
y: 104
width: 67
height: 166

Frame: 241
x: -1
y: 103
width: 67
height: 166

Frame: 242
x: -1
y: 103
width: 65
height: 165

Frame: 243
x: -1
y: 103
width: 58
height: 165

Frame: 244
x: -1
y: 103
width: 54
height: 165

Frame: 245
x: -1
y: 103
width: 49
height: 166

Object Number #6
Region Description:
Region 06
Start Frame:0
End Frame:240
Region Descriptors (0):
Region frames data
Frame: 0
x: 411
y: 93
width: 38
height: 107

Frame: 1
x: 408
y: 92
width: 38
height: 107

Frame: 2
x: 407
y: 92
width: 38
height: 107

Frame: 3
x: 405
y: 92
width: 38
height: 107

Frame: 4
x: 403
y: 92
width: 38
height: 107

Frame: 5
x: 401
y: 92
width: 38
height: 107

Frames: 6 to 7
x: 404
y: 93
width: 31
height: 107

Frames: 8 to 9
x: 403
y: 93
width: 31
height: 107

Frame: 10
x: 402
y: 93
width: 31
height: 107

Frames: 11 to 14
x: 401
y: 92
width: 31
height: 107

Frame: 15
x: 400
y: 92
width: 31
height: 107

Frame: 16
x: 398
y: 92
width: 31
height: 107

Frame: 17
x: 397
y: 92
width: 31
height: 107

Frame: 18
x: 396
y: 92
width: 31
height: 107

Frames: 19 to 24
x: 394
y: 92
width: 31
height: 107

Frames: 25 to 34
x: 390
y: 92
width: 31
height: 107

Frame: 35
x: 391
y: 92
width: 31
height: 107

Frame: 36
x: 392
y: 93
width: 31
height: 107

Frames: 37 to 80
x: 394
y: 93
width: 31
height: 107

Frames: 81 to 82
x: 394
y: 93
width: 35
height: 107

Frame: 83
x: 393
y: 93
width: 35
height: 107

Frame: 84
x: 391
y: 93
width: 35
height: 107

Frame: 85
x: 390
y: 93
width: 35
height: 107

Frame: 86
x: 389
y: 93
width: 35
height: 107

Frames: 87 to 88
x: 387
y: 93
width: 35
height: 107

Frame: 89
x: 386
y: 93
width: 35
height: 107

Frames: 90 to 91
x: 383
y: 93
width: 35
height: 107

Frame: 92
x: 382
y: 93
width: 35
height: 107

Frame: 93
x: 381
y: 93
width: 35
height: 107

Frame: 94
x: 381
y: 94
width: 35
height: 107

Frames: 95 to 96
x: 380
y: 94
width: 35
height: 107

Frames: 97 to 100
x: 376
y: 94
width: 35
height: 107

Frames: 101 to 102
x: 376
y: 95
width: 35
height: 107

Frame: 103
x: 377
y: 95
width: 35
height: 107

Frame: 104
x: 379
y: 96
width: 35
height: 107

Frame: 105
x: 380
y: 96
width: 35
height: 107

Frames: 106 to 115
x: 382
y: 97
width: 35
height: 107

Frames: 116 to 117
x: 381
y: 97
width: 35
height: 107

Frame: 118
x: 381
y: 97
width: 36
height: 109

Frame: 119
x: 380
y: 97
width: 36
height: 109

Frames: 120 to 129
x: 379
y: 97
width: 36
height: 109

Frames: 130 to 132
x: 378
y: 97
width: 36
height: 109

Frames: 133 to 134
x: 378
y: 96
width: 36
height: 109

Frames: 135 to 137
x: 378
y: 94
width: 39
height: 111

Frame: 138
x: 378
y: 95
width: 39
height: 111

Frames: 139 to 155
x: 377
y: 95
width: 39
height: 111

Frames: 156 to 157
x: 375
y: 95
width: 39
height: 111

Frame: 158
x: 374
y: 95
width: 39
height: 111

Frame: 159
x: 373
y: 95
width: 39
height: 111

Frames: 160 to 161
x: 372
y: 95
width: 39
height: 111

Frame: 162
x: 371
y: 95
width: 39
height: 111

Frame: 163
x: 371
y: 96
width: 39
height: 111

Frame: 164
x: 369
y: 96
width: 39
height: 111

Frame: 165
x: 368
y: 96
width: 39
height: 111

Frame: 166
x: 367
y: 96
width: 39
height: 111

Frame: 167
x: 364
y: 96
width: 39
height: 111

Frame: 168
x: 360
y: 96
width: 43
height: 114

Frame: 169
x: 356
y: 97
width: 43
height: 114

Frame: 170
x: 354
y: 98
width: 43
height: 114

Frame: 171
x: 348
y: 97
width: 44
height: 116

Frame: 172
x: 343
y: 97
width: 44
height: 116

Frames: 173 to 174
x: 341
y: 97
width: 44
height: 116

Frame: 175
x: 337
y: 98
width: 44
height: 116

Frame: 176
x: 334
y: 98
width: 44
height: 116

Frame: 177
x: 330
y: 98
width: 44
height: 116

Frame: 178
x: 325
y: 98
width: 45
height: 123

Frame: 179
x: 322
y: 98
width: 45
height: 123

Frame: 180
x: 321
y: 98
width: 45
height: 123

Frame: 181
x: 318
y: 98
width: 45
height: 123

Frame: 182
x: 316
y: 98
width: 45
height: 123

Frame: 183
x: 311
y: 98
width: 45
height: 123

Frame: 184
x: 307
y: 98
width: 45
height: 123

Frame: 185
x: 300
y: 98
width: 45
height: 123

Frame: 186
x: 295
y: 98
width: 45
height: 123

Frame: 187
x: 290
y: 98
width: 47
height: 128

Frame: 188
x: 287
y: 98
width: 47
height: 128

Frame: 189
x: 282
y: 98
width: 47
height: 128

Frame: 190
x: 279
y: 98
width: 47
height: 128

Frame: 191
x: 272
y: 98
width: 47
height: 128

Frame: 192
x: 264
y: 98
width: 49
height: 133

Frame: 193
x: 258
y: 98
width: 49
height: 133

Frame: 194
x: 253
y: 98
width: 49
height: 133

Frame: 195
x: 249
y: 98
width: 49
height: 133

Frame: 196
x: 243
y: 98
width: 49
height: 133

Frame: 197
x: 238
y: 98
width: 49
height: 133

Frame: 198
x: 228
y: 98
width: 49
height: 137

Frame: 199
x: 222
y: 98
width: 49
height: 137

Frame: 200
x: 215
y: 97
width: 49
height: 137

Frame: 201
x: 208
y: 97
width: 49
height: 137

Frame: 202
x: 197
y: 99
width: 49
height: 137

Frame: 203
x: 191
y: 99
width: 49
height: 137

Frame: 204
x: 184
y: 97
width: 49
height: 137

Frame: 205
x: 177
y: 97
width: 49
height: 137

Frame: 206
x: 171
y: 97
width: 49
height: 137

Frame: 207
x: 167
y: 97
width: 49
height: 137

Frame: 208
x: 158
y: 97
width: 49
height: 137

Frame: 209
x: 157
y: 102
width: 49
height: 133

Frame: 210
x: 153
y: 102
width: 49
height: 133

Frame: 211
x: 145
y: 102
width: 49
height: 133

Frame: 212
x: 136
y: 96
width: 50
height: 136

Frame: 213
x: 131
y: 94
width: 50
height: 136

Frame: 214
x: 127
y: 94
width: 50
height: 136

Frame: 215
x: 119
y: 99
width: 52
height: 131

Frame: 216
x: 110
y: 98
width: 52
height: 131

Frame: 217
x: 108
y: 98
width: 52
height: 131

Frame: 218
x: 109
y: 100
width: 49
height: 128

Frame: 219
x: 104
y: 100
width: 49
height: 128

Frame: 220
x: 101
y: 98
width: 49
height: 128

Frame: 221
x: 98
y: 98
width: 49
height: 128

Frame: 222
x: 86
y: 99
width: 49
height: 128

Frame: 223
x: 82
y: 99
width: 49
height: 128

Frame: 224
x: 76
y: 100
width: 49
height: 123

Frame: 225
x: 71
y: 99
width: 49
height: 123

Frame: 226
x: 70
y: 99
width: 49
height: 123

Frame: 227
x: 68
y: 99
width: 49
height: 123

Frame: 228
x: 66
y: 99
width: 49
height: 123

Frame: 229
x: 53
y: 99
width: 49
height: 123

Frames: 230 to 231
x: 44
y: 99
width: 49
height: 123

Frame: 232
x: 40
y: 99
width: 49
height: 123

Frame: 233
x: 35
y: 99
width: 49
height: 123

Frame: 234
x: 27
y: 99
width: 49
height: 123

Frame: 235
x: 20
y: 98
width: 49
height: 123

Frame: 236
x: 15
y: 98
width: 49
height: 123

Frame: 237
x: 11
y: 98
width: 49
height: 123

Frame: 238
x: 1
y: 99
width: 49
height: 125

Frame: 239
x: 0
y: 99
width: 49
height: 125

Frame: 240
x: 0
y: 99
width: 42
height: 125

Object Number #7
Region Description:
Region 07
Start Frame:0
End Frame:271
Region Descriptors (0):
Region frames data
Frames: 0 to 174
x: 433
y: 90
width: 30
height: 98

Frames: 175 to 176
x: 432
y: 90
width: 30
height: 98

Frame: 177
x: 429
y: 95
width: 33
height: 93

Frame: 178
x: 423
y: 95
width: 33
height: 93

Frame: 179
x: 421
y: 95
width: 33
height: 97

Frame: 180
x: 417
y: 95
width: 33
height: 97

Frame: 181
x: 414
y: 95
width: 33
height: 97

Frames: 182 to 183
x: 412
y: 96
width: 33
height: 97

Frame: 184
x: 409
y: 96
width: 33
height: 97

Frame: 185
x: 406
y: 96
width: 33
height: 97

Frame: 186
x: 405
y: 96
width: 33
height: 97

